Program Version:,EnergyPlus, Version 22.2.0-c249759bad, YMD=2023.05.28 19:20
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ3A+elecres+slab+IECC_2015
Environment:,ANNUAL ** Dallas Fort Worth Intl Ap TX USA TMY3 WMO#=722590

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       672.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,8.35,25.21,37.82
,Net Site Energy,8.35,25.21,37.82
,Total Source Energy,26.45,79.84,119.77
,Net Source Energy,26.45,79.84,119.77


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,331.23
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,110.41


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,8.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.83
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,,Process Subtotal [$],Total Energy Cost [$]
,Electricity,0.00,
,Natural Gas,0.00,
,Additional,0.00,
,Total,0.00,
Process energy cost based on ratio of process to total energy.


L-1. Renewable Energy Source Summary

,,Rated Capacity [kW],Annual Energy Generated [GJ]
,Photovoltaic,0.00,0.00
,Wind,0.00,0.00


EAp2-17a. Energy Use Intensity - Electricity

,,Electricty [MJ/m2]
,Interior Lighting (All),0.99
,Space Heating,13.89
,Space Cooling,0.27
,Fans (All),0.68
,Service Water Heating,2.70
,Receptacle Equipment,6.47
,Miscellaneous (All),25.21
,Subtotal,25.21


EAp2-17b. Energy Use Intensity - Natural Gas

,,Natural Gas [MJ/m2]
,Space Heating,0.00
,Service Water Heating,0.00
,Miscellaneous (All),0.00
,Subtotal,0.00


EAp2-17c. Energy Use Intensity - Additional

,,Additional [MJ/m2]
,Subtotal,0.00
,Miscellaneous,0.00


EAp2-18. End Use Percentage

,,Percent [%]
,Interior Lighting (All),3.92
,Space Heating,55.09
,Space Cooling,1.06
,Fans (All),2.69
,Service Water Heating,10.72
,Receptacle Equipment,25.66
,Miscellaneous,0.84


Schedules-Equivalent Full Load Hours (Schedule Type=Fraction)

,,Equivalent Full Load Hours of Operation Per Year [hr],Hours > 1% [hr]
,OCCUPANCY,6031.,8760.
,INTERIORLIGHTING,2852.,8760.
,INTERIORLIGHTINGHE,3070.,8760.
,INTERIORLIGHTINGHE_OS,2910.,8760.
,INTERIORLIGHTINGHE_VS,2149.,8760.
,EXTERIORLIGHTING,4380.,4380.
,REFRIGERATOR,7343.,8760.
,MISCPLUGLOAD,5918.,8760.
,COOKINGRANGE,2434.,8760.
,DHW_SCH,365.,8760.
,DISHWASHER,2811.,8760.
,CLOTHESWASHER,3310.,8760.
,CLOTHESDRYER,3909.,8760.
,SINKS,4197.,8760.
,SHOWERS,2651.,8760.
,BATHS,2595.,8760.
,DHWDIST,4662.,8760.
,SHADING_2012IECC,0.,0.
,SINKSENSSCHEDULE,6025.,8760.
,SINKLATSCHEDULE,2735.,8760.
,SHOWERSENSSCHEDULE,4492.,8760.
,SHOWERLATSCHEDULE,4268.,8760.
,BATHSENSSCHEDULE,8760.,8760.
,BATHLATSCHEDULE,0.,0.


Schedules-SetPoints (Schedule Type=Temperature)

,,First Object Used,Month Assumed,11am First Wednesday [C],Days with Same 11am Value,11pm First Wednesday [C],Days with Same 11pm Value
,HEATING_SCH,THERMOSTAT_LIVING DUAL SP CONTROL,January,22.22,365,22.22,365
,COOLING_SCH,THERMOSTAT_LIVING DUAL SP CONTROL,July,23.89,365,23.89,365


----------------------------------------------------------------------------------------------------
REPORT:,Annual CO2 Resilience Summary
FOR:,Entire Facility
CO2 Level Hours

,,Safe (<= 1000 ppm) [hr],Caution (> 1000, <= 5000 ppm) [hr],Hazard (> 5000 ppm) [hr]
,None,,,


CO2 Level OccupantHours

,,Safe (<= 1000 ppm) [hr],Caution (> 1000, <= 5000 ppm) [hr],Hazard (> 5000 ppm) [hr]
,None,,,


CO2 Level OccupiedHours

,,Safe (<= 1000 ppm) [hr],Caution (> 1000, <= 5000 ppm) [hr],Hazard (> 5000 ppm) [hr]
,None,,,


----------------------------------------------------------------------------------------------------
REPORT:,Annual Visual Resilience Summary
FOR:,Entire Facility
Illuminance Level Hours

,,A Bit Dark (<= 100 lux) [hr],Dim (> 100, <= 300 lux) [hr],Adequate (> 300, <= 500 lux) [hr],Bright (>500 lux) [hr]
,None,,,,


Illuminance Level OccupantHours

,,A Bit Dark (<= 100 lux) [hr],Dim (> 100, <= 300 lux) [hr],Adequate (> 300, <= 500 lux) [hr],Bright (>500 lux) [hr]
,None,,,,


Illuminance Level OccupiedHours

,,A Bit Dark (<= 100 lux) [hr],Dim (> 100, <= 300 lux) [hr],Adequate (> 300, <= 500 lux) [hr],Bright (>500 lux) [hr]
,None,,,,


----------------------------------------------------------------------------------------------------
REPORT:,FANSPLIT
FOR:,CENTRAL SYSTEM_UNIT1
Custom Monthly Report

,,AIR SYSTEM COOLING COIL TOTAL COOLING ENERGY {HOURS NON-ZERO} [HOURS],AIR SYSTEM FAN ELECTRICITY ENERGY {FOR HOURS SHOWN} [J],AIR SYSTEM HEATING COIL TOTAL HEATING ENERGY {HOURS NON-ZERO} [HOURS],AIR SYSTEM FAN ELECTRICITY ENERGY {FOR HOURS SHOWN} [J],AIR SYSTEM FAN ELECTRICITY ENERGY [J]
,January,-,-,-,-,-
,February,94.056,0.171730E+08,461.444,0.121234E+09,0.121234E+09
,March,-,-,-,-,-
,April,-,-,-,-,-
,May,-,-,-,-,-
,June,-,-,-,-,-
,July,-,-,-,-,-
,August,-,-,-,-,-
,September,-,-,-,-,-
,October,-,-,-,-,-
,November,-,-,-,-,-
,December,-,-,-,-,-
,,,,,,
,Annual Sum or Average,94.056,0.171730E+08,461.444,0.121234E+09,0.121234E+09
,Minimum of Months,94.056,0.171730E+08,461.444,0.121234E+09,0.121234E+09
,Maximum of Months,94.056,0.171730E+08,461.444,0.121234E+09,0.121234E+09


----------------------------------------------------------------------------------------------------
REPORT:,COILLOADS
FOR:,MAIN ELECTRIC HEATING COIL_UNIT1
Custom Monthly Report

,,HEATING COIL HEATING RATE [W],HEATING COIL AIR HEATING RATE [],COOLING COIL TOTAL COOLING RATE []
,January,-,-,-
,February,1901.64,0.00,0.00
,March,-,-,-
,April,-,-,-
,May,-,-,-
,June,-,-,-
,July,-,-,-
,August,-,-,-
,September,-,-,-
,October,-,-,-
,November,-,-,-
,December,-,-,-
,,,,
,Annual Sum or Average,1901.64,0.00,0.00
,Minimum of Months,1901.64,0.00,0.00
,Maximum of Months,1901.64,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,COILLOADS
FOR:,DX COOLING COIL_UNIT1
Custom Monthly Report

,,HEATING COIL HEATING RATE [],HEATING COIL AIR HEATING RATE [],COOLING COIL TOTAL COOLING RATE [W]
,January,-,-,-
,February,0.00,0.00,159.96
,March,-,-,-
,April,-,-,-
,May,-,-,-
,June,-,-,-
,July,-,-,-
,August,-,-,-
,September,-,-,-
,October,-,-,-
,November,-,-,-
,December,-,-,-
,,,,
,Annual Sum or Average,0.00,0.00,159.96
,Minimum of Months,0.00,0.00,159.96
,Maximum of Months,0.00,0.00,159.96


----------------------------------------------------------------------------------------------------
REPORT:,WATER HEATER: LOADS
FOR:,WATER HEATER_UNIT1
Custom Monthly Report

,,WATER HEATER TOTAL DEMAND RATE [],WATER HEATER TOTAL DEMAND ENERGY [],WATER HEATER HEATING RATE [W],WATER HEATER HEATING ENERGY [J]
,January,-,-,-,-
,February,0.00,0.00,370.16,0.895489E+09
,March,-,-,-,-
,April,-,-,-,-
,May,-,-,-,-
,June,-,-,-,-
,July,-,-,-,-
,August,-,-,-,-
,September,-,-,-,-
,October,-,-,-,-
,November,-,-,-,-
,December,-,-,-,-
,,,,,
,Annual Sum or Average,0.00,0.00,370.16,0.895489E+09
,Minimum of Months,0.00,0.00,370.16,0.895489E+09
,Maximum of Months,0.00,0.00,370.16,0.895489E+09


----------------------------------------------------------------------------------------------------
REPORT:,HEATING AND COOLING LOADS
FOR:,LIVING_UNIT1
Custom Monthly Report

,,ZONE AIR SYSTEM SENSIBLE COOLING ENERGY [J],ZONE AIR SYSTEM SENSIBLE HEATING ENERGY [J]
,January,-,-
,February,0.409982E+09,0.300662E+10
,March,-,-
,April,-,-
,May,-,-
,June,-,-
,July,-,-
,August,-,-
,September,-,-
,October,-,-
,November,-,-
,December,-,-
,,,
,Annual Sum or Average,0.409982E+09,0.300662E+10
,Minimum of Months,0.409982E+09,0.300662E+10
,Maximum of Months,0.409982E+09,0.300662E+10


----------------------------------------------------------------------------------------------------
REPORT:,HEATING AND COOLING LOADS
FOR:,ATTIC_UNIT1
Custom Monthly Report

,,ZONE AIR SYSTEM SENSIBLE COOLING ENERGY [J],ZONE AIR SYSTEM SENSIBLE HEATING ENERGY [J]
,January,-,-
,February,0.00,0.00
,March,-,-
,April,-,-
,May,-,-
,June,-,-
,July,-,-
,August,-,-
,September,-,-
,October,-,-
,November,-,-
,December,-,-
,,,
,Annual Sum or Average,0.00,0.00
,Minimum of Months,0.00,0.00
,Maximum of Months,0.00,0.00


